Cement,Water,W/C,W/Binder,Sand,Gravel,Superplasticizer,Flyash,GGBS,Age,Strength
540,162,0.3,0.3,676,1040,2.5,0,0,28,79.99
540,162,0.3,0.3,676,1055,2.5,0,0,28,61.89
332.5,228,0.7,0.5,594,932,0,0,142.5,270,40.27
332.5,228,0.7,0.5,594,932,0,0,142.5,365,41.05
198.6,192,1,0.6,825.5,978.4,0,0,132.4,360,44.3
266,228,0.9,0.6,670,932,0,0,114,90,47.03
380,228,0.6,0.5,594,932,0,0,95,365,43.7
380,228,0.6,0.5,594,932,0,0,95,28,36.45
266,228,0.9,0.6,670,932,0,0,114,28,45.85
475,228,0.5,0.5,594,932,0,0,0,28,39.29
198.6,192,1,0.6,825.5,978.4,0,0,132.4,90,38.07
198.6,192,1,0.6,825.5,978.4,0,0,132.4,28,28.02
427.5,228,0.5,0.5,594,932,0,0,47.5,270,43.01
190,228,1.2,0.6,670,932,0,0,190,90,42.33
304,228,0.8,0.6,670,932,0,0,76,28,47.81
380,228,0.6,0.6,670,932,0,0,0,90,52.91
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,90,39.36
342,228,0.7,0.6,670,932,0,0,38,365,56.14
380,228,0.6,0.5,594,932,0,0,95,90,40.56
475,228,0.5,0.5,594,932,0,0,0,180,42.62
427.5,228,0.5,0.5,594,932,0,0,47.5,180,41.84
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,28,28.24
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,3,8.06
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,180,44.21
380,228,0.6,0.6,670,932,0,0,0,365,52.52
380,228,0.6,0.6,670,932,0,0,0,270,53.3
380,228,0.6,0.5,594,932,0,0,95,270,41.15
342,228,0.7,0.6,670,932,0,0,38,180,52.12
427.5,228,0.5,0.5,594,932,0,0,47.5,28,37.43
475,228,0.5,0.5,594,932,0,0,0,7,38.6
304,228,0.8,0.6,670,932,0,0,76,365,55.26
266,228,0.9,0.6,670,932,0,0,114,365,52.91
198.6,192,1,0.6,825.5,978.4,0,0,132.4,180,41.72
475,228,0.5,0.5,594,932,0,0,0,270,42.13
190,228,1.2,0.6,670,932,0,0,190,365,53.69
237.5,228,1,0.5,594,932,0,0,237.5,270,38.41
237.5,228,1,0.5,594,932,0,0,237.5,28,30.08
332.5,228,0.7,0.5,594,932,0,0,142.5,90,37.72
475,228,0.5,0.5,594,932,0,0,0,90,42.23
237.5,228,1,0.5,594,932,0,0,237.5,180,36.25
342,228,0.7,0.6,670,932,0,0,38,90,50.46
427.5,228,0.5,0.5,594,932,0,0,47.5,365,43.7
237.5,228,1,0.5,594,932,0,0,237.5,365,39
380,228,0.6,0.6,670,932,0,0,0,180,53.1
427.5,228,0.5,0.5,594,932,0,0,47.5,90,41.54
427.5,228,0.5,0.5,594,932,0,0,47.5,7,35.08
349,192,0.6,0.6,806.9,1047,0,0,0,3,15.05
380,228,0.6,0.5,594,932,0,0,95,180,40.76
237.5,228,1,0.5,594,932,0,0,237.5,7,26.26
380,228,0.6,0.5,594,932,0,0,95,7,32.82
332.5,228,0.7,0.5,594,932,0,0,142.5,180,39.78
190,228,1.2,0.6,670,932,0,0,190,180,46.93
237.5,228,1,0.5,594,932,0,0,237.5,90,33.12
304,228,0.8,0.6,670,932,0,0,76,90,49.19
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,7,14.59
198.6,192,1,0.6,825.5,978.4,0,0,132.4,7,14.64
475,228,0.5,0.5,594,932,0,0,0,365,41.93
198.6,192,1,0.6,825.5,978.4,0,0,132.4,3,9.13
304,228,0.8,0.6,670,932,0,0,76,180,50.95
332.5,228,0.7,0.5,594,932,0,0,142.5,28,33.02
304,228,0.8,0.6,670,932,0,0,76,270,54.38
266,228,0.9,0.6,670,932,0,0,114,270,51.73
310,192,0.6,0.6,850.6,971,0,0,0,3,9.87
190,228,1.2,0.6,670,932,0,0,190,270,50.66
266,228,0.9,0.6,670,932,0,0,114,180,48.7
342,228,0.7,0.6,670,932,0,0,38,270,55.06
139.6,192,1.4,0.6,806.9,1047,0,0,209.4,360,44.7
332.5,228,0.7,0.5,594,932,0,0,142.5,7,30.28
190,228,1.2,0.6,670,932,0,0,190,28,40.86
485,146,0.3,0.3,800,1120,0,0,0,28,71.99
374,170.1,0.5,0.3,756.7,926.1,10.1,0,189.2,3,34.4
313.3,175.5,0.6,0.3,611.8,1046.9,8.6,0,262.2,3,28.8
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,3,33.4
425,151.4,0.4,0.3,803.7,936,18.6,0,106.3,3,36.3
375,126.6,0.3,0.3,992.6,852.1,23.4,0,93.8,3,29
475,181.1,0.4,0.3,781.5,852.1,8.9,0,118.8,3,37.8
469,137.8,0.3,0.2,840.5,852.1,32.2,0,117.2,3,40.2
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,3,33.4
388.6,157.9,0.4,0.3,925.7,852.1,12.1,0,97.1,3,28.1
531.3,141.8,0.3,0.3,893.7,852.1,28.2,0,0,3,41.3
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,3,33.4
318.8,155.7,0.5,0.3,880.4,852.1,14.3,0,212.5,3,25.2
401.8,147.4,0.4,0.3,852.1,946.8,11.4,0,94.7,3,41.1
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,3,35.3
323.7,183.8,0.6,0.3,659.9,942.7,10.3,0,282.8,3,28.3
379.5,153.9,0.4,0.3,605,1134.3,15.9,0,151.2,3,28.6
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,3,35.3
286.3,144.7,0.5,0.3,803.7,1004.6,11.2,0,200.9,3,24.4
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,3,35.3
439,186,0.4,0.3,707.9,884.9,11.1,0,177,3,39.3
389.9,145.9,0.4,0.3,755.8,944.7,22,0,189,3,40.6
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,3,35.3
337.9,174.9,0.5,0.3,755.8,944.7,9.5,0,189,3,24.1
374,170.1,0.5,0.3,756.7,926.1,10.1,0,189.2,7,46.2
313.3,175.5,0.6,0.3,611.8,1046.9,8.6,0,262.2,7,42.8
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,7,49.2
425,151.4,0.4,0.3,803.7,936,18.6,0,106.3,7,46.8
375,126.6,0.3,0.3,992.6,852.1,23.4,0,93.8,7,45.7
475,181.1,0.4,0.3,781.5,852.1,8.9,0,118.8,7,55.6
469,137.8,0.3,0.2,840.5,852.1,32.2,0,117.2,7,54.9
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,7,49.2
388.6,157.9,0.4,0.3,925.7,852.1,12.1,0,97.1,7,34.9
531.3,141.8,0.3,0.3,893.7,852.1,28.2,0,0,7,46.9
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,7,49.2
318.8,155.7,0.5,0.3,880.4,852.1,14.3,0,212.5,7,33.4
401.8,147.4,0.4,0.3,852.1,946.8,11.4,0,94.7,7,54.1
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,7,55.9
323.7,183.8,0.6,0.3,659.9,942.7,10.3,0,282.8,7,49.8
379.5,153.9,0.4,0.3,605,1134.3,15.9,0,151.2,7,47.1
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,7,55.9
286.3,144.7,0.5,0.3,803.7,1004.6,11.2,0,200.9,7,38
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,7,55.9
439,186,0.4,0.3,707.9,884.9,11.1,0,177,7,56.1
389.9,145.9,0.4,0.3,755.8,944.7,22,0,189,7,59.09
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,7,22.9
337.9,174.9,0.5,0.3,755.8,944.7,9.5,0,189,7,35.1
374,170.1,0.5,0.3,756.7,926.1,10.1,0,189.2,28,61.09
313.3,175.5,0.6,0.3,611.8,1046.9,8.6,0,262.2,28,59.8
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,28,60.29
425,151.4,0.4,0.3,803.7,936,18.6,0,106.3,28,61.8
375,126.6,0.3,0.3,992.6,852.1,23.4,0,93.8,28,56.7
475,181.1,0.4,0.3,781.5,852.1,8.9,0,118.8,28,68.3
469,137.8,0.3,0.2,840.5,852.1,32.2,0,117.2,28,66.9
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,28,60.29
388.6,157.9,0.4,0.3,925.7,852.1,12.1,0,97.1,28,50.7
531.3,141.8,0.3,0.3,893.7,852.1,28.2,0,0,28,56.4
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,28,60.29
318.8,155.7,0.5,0.3,880.4,852.1,14.3,0,212.5,28,55.5
401.8,147.4,0.4,0.3,852.1,946.8,11.4,0,94.7,28,68.5
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,28,71.3
323.7,183.8,0.6,0.3,659.9,942.7,10.3,0,282.8,28,74.7
379.5,153.9,0.4,0.3,605,1134.3,15.9,0,151.2,28,52.2
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,28,71.3
286.3,144.7,0.5,0.3,803.7,1004.6,11.2,0,200.9,28,67.7
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,28,71.3
439,186,0.4,0.3,707.9,884.9,11.1,0,177,28,66
389.9,145.9,0.4,0.3,755.8,944.7,22,0,189,28,74.5
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,28,71.3
337.9,174.9,0.5,0.3,755.8,944.7,9.5,0,189,28,49.9
374,170.1,0.5,0.3,756.7,926.1,10.1,0,189.2,56,63.4
313.3,175.5,0.6,0.3,611.8,1046.9,8.6,0,262.2,56,64.9
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,56,64.3
425,151.4,0.4,0.3,803.7,936,18.6,0,106.3,56,64.9
375,126.6,0.3,0.3,992.6,852.1,23.4,0,93.8,56,60.2
475,181.1,0.4,0.3,781.5,852.1,8.9,0,118.8,56,72.3
469,137.8,0.3,0.2,840.5,852.1,32.2,0,117.2,56,69.3
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,56,64.3
388.6,157.9,0.4,0.3,925.7,852.1,12.1,0,97.1,56,55.2
531.3,141.8,0.3,0.3,893.7,852.1,28.2,0,0,56,58.8
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,56,64.3
318.8,155.7,0.5,0.3,880.4,852.1,14.3,0,212.5,56,66.1
401.8,147.4,0.4,0.3,852.1,946.8,11.4,0,94.7,56,73.7
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,56,77.3
323.7,183.8,0.6,0.3,659.9,942.7,10.3,0,282.8,56,80.2
379.5,153.9,0.4,0.3,605,1134.3,15.9,0,151.2,56,54.9
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,56,77.3
286.3,144.7,0.5,0.3,803.7,1004.6,11.2,0,200.9,56,72.99
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,56,77.3
439,186,0.4,0.3,707.9,884.9,11.1,0,177,56,71.7
389.9,145.9,0.4,0.3,755.8,944.7,22,0,189,56,79.4
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,56,77.3
337.9,174.9,0.5,0.3,755.8,944.7,9.5,0,189,56,59.89
374,170.1,0.5,0.3,756.7,926.1,10.1,0,189.2,91,64.9
313.3,175.5,0.6,0.3,611.8,1046.9,8.6,0,262.2,91,66.6
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,91,65.2
425,151.4,0.4,0.3,803.7,936,18.6,0,106.3,91,66.7
375,126.6,0.3,0.3,992.6,852.1,23.4,0,93.8,91,62.5
475,181.1,0.4,0.3,781.5,852.1,8.9,0,118.8,91,74.19
469,137.8,0.3,0.2,840.5,852.1,32.2,0,117.2,91,70.7
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,91,65.2
388.6,157.9,0.4,0.3,925.7,852.1,12.1,0,97.1,91,57.6
531.3,141.8,0.3,0.3,893.7,852.1,28.2,0,0,91,59.2
425,153.5,0.4,0.3,887.1,852.1,16.5,0,106.3,91,65.2
318.8,155.7,0.5,0.3,880.4,852.1,14.3,0,212.5,91,68.1
401.8,147.4,0.4,0.3,852.1,946.8,11.4,0,94.7,91,75.5
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,91,79.3
379.5,153.9,0.4,0.3,605,1134.3,15.9,0,151.2,91,56.5
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,91,79.3
286.3,144.7,0.5,0.3,803.7,1004.6,11.2,0,200.9,91,76.8
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,91,79.3
439,186,0.4,0.3,707.9,884.9,11.1,0,177,91,73.3
389.9,145.9,0.4,0.3,755.8,944.7,22,0,189,91,82.6
362.6,164.9,0.5,0.3,755.8,944.7,11.6,0,189,91,79.3
337.9,174.9,0.5,0.3,755.8,944.7,9.5,0,189,91,67.8
222.4,189.3,0.9,0.6,870.3,967.1,4.5,96.7,0,3,11.58
222.4,189.3,0.9,0.6,870.3,967.1,4.5,96.7,0,14,24.45
222.4,189.3,0.9,0.6,870.3,967.1,4.5,96.7,0,28,24.89
222.4,189.3,0.9,0.6,870.3,967.1,4.5,96.7,0,56,29.45
222.4,189.3,0.9,0.6,870.3,967.1,4.5,96.7,0,100,40.71
233.8,197.9,0.8,0.6,852.2,947,4.6,94.6,0,3,10.38
233.8,197.9,0.8,0.6,852.2,947,4.6,94.6,0,14,22.14
233.8,197.9,0.8,0.6,852.2,947,4.6,94.6,0,28,22.84
233.8,197.9,0.8,0.6,852.2,947,4.6,94.6,0,56,27.66
233.8,197.9,0.8,0.6,852.2,947,4.6,94.6,0,100,34.56
194.7,165.6,0.9,0.6,905.9,1006.4,7.5,100.5,0,3,12.45
194.7,165.6,0.9,0.6,905.9,1006.4,7.5,100.5,0,14,24.99
194.7,165.6,0.9,0.6,905.9,1006.4,7.5,100.5,0,28,25.72
194.7,165.6,0.9,0.6,905.9,1006.4,7.5,100.5,0,56,33.96
194.7,165.6,0.9,0.6,905.9,1006.4,7.5,100.5,0,100,37.34
190.7,162.1,0.9,0.5,804,1090,7.8,125.4,0,3,15.04
190.7,162.1,0.9,0.5,804,1090,7.8,125.4,0,14,21.06
190.7,162.1,0.9,0.5,804,1090,7.8,125.4,0,28,26.4
190.7,162.1,0.9,0.5,804,1090,7.8,125.4,0,56,35.34
190.7,162.1,0.9,0.5,804,1090,7.8,125.4,0,100,40.57
212.1,180.3,0.9,0.5,779.3,1057.6,5.7,121.6,0,3,12.47
212.1,180.3,0.9,0.5,779.3,1057.6,5.7,121.6,0,14,20.92
212.1,180.3,0.9,0.5,779.3,1057.6,5.7,121.6,0,28,24.9
212.1,180.3,0.9,0.5,779.3,1057.6,5.7,121.6,0,56,34.2
212.1,180.3,0.9,0.5,779.3,1057.6,5.7,121.6,0,100,39.61
230,195.5,0.8,0.6,758.6,1029.4,4.6,118.3,0,3,10.03
230,195.5,0.8,0.6,758.6,1029.4,4.6,118.3,0,14,20.08
230,195.5,0.8,0.6,758.6,1029.4,4.6,118.3,0,28,24.48
230,195.5,0.8,0.6,758.6,1029.4,4.6,118.3,0,56,31.54
230,195.5,0.8,0.6,758.6,1029.4,4.6,118.3,0,100,35.34
190.3,161.9,0.9,0.5,802.6,1088.1,9.9,125.2,0,3,9.45
190.3,161.9,0.9,0.5,802.6,1088.1,9.9,125.2,0,14,22.72
190.3,161.9,0.9,0.5,802.6,1088.1,9.9,125.2,0,28,28.47
190.3,161.9,0.9,0.5,802.6,1088.1,9.9,125.2,0,56,38.56
190.3,161.9,0.9,0.5,802.6,1088.1,9.9,125.2,0,100,40.39
166.1,176.5,1.1,0.5,780.1,1058.6,4.5,163.3,0,3,10.76
166.1,176.5,1.1,0.5,780.1,1058.6,4.5,163.3,0,14,25.48
166.1,176.5,1.1,0.5,780.1,1058.6,4.5,163.3,0,28,21.54
166.1,176.5,1.1,0.5,780.1,1058.6,4.5,163.3,0,56,28.63
166.1,176.5,1.1,0.5,780.1,1058.6,4.5,163.3,0,100,33.54
168,121.8,0.7,0.3,780.1,1058.7,5.7,163.8,42.1,3,7.75
168,121.8,0.7,0.3,780.1,1058.7,5.7,163.8,42.1,14,17.82
168,121.8,0.7,0.3,780.1,1058.7,5.7,163.8,42.1,28,24.24
168,121.8,0.7,0.3,780.1,1058.7,5.7,163.8,42.1,56,32.85
168,121.8,0.7,0.3,780.1,1058.7,5.7,163.8,42.1,100,39.23
213.7,181.7,0.9,0.5,785.4,1065.8,6.9,24.5,98.1,3,18
213.7,181.7,0.9,0.5,785.4,1065.8,6.9,24.5,98.1,14,30.39
213.7,181.7,0.9,0.5,785.4,1065.8,6.9,24.5,98.1,28,45.71
213.7,181.7,0.9,0.5,785.4,1065.8,6.9,24.5,98.1,56,50.77
213.7,181.7,0.9,0.5,785.4,1065.8,6.9,24.5,98.1,100,53.9
213.8,181.7,0.9,0.5,785.5,1066,6.7,24.5,98.1,3,13.18
213.8,181.7,0.9,0.5,785.5,1066,6.7,24.5,98.1,14,17.84
213.8,181.7,0.9,0.5,785.5,1066,6.7,24.5,98.1,28,40.23
213.8,181.7,0.9,0.5,785.5,1066,6.7,24.5,98.1,56,47.13
213.8,181.7,0.9,0.5,785.5,1066,6.7,24.5,98.1,100,49.97
229.7,195.2,0.9,0.6,757.6,1028.1,6.1,118.2,0,3,13.36
229.7,195.2,0.9,0.6,757.6,1028.1,6.1,118.2,0,14,22.32
229.7,195.2,0.9,0.6,757.6,1028.1,6.1,118.2,0,28,24.54
229.7,195.2,0.9,0.6,757.6,1028.1,6.1,118.2,0,56,31.35
229.7,195.2,0.9,0.6,757.6,1028.1,6.1,118.2,0,100,40.86
238.1,186.7,0.8,0.6,847,949.9,7,94.1,0,3,19.93
238.1,186.7,0.8,0.6,847,949.9,7,94.1,0,14,25.69
238.1,186.7,0.8,0.6,847,949.9,7,94.1,0,28,30.23
238.1,186.7,0.8,0.6,847,949.9,7,94.1,0,56,39.59
238.1,186.7,0.8,0.6,847,949.9,7,94.1,0,100,44.3
250,187.4,0.7,0.5,861.2,956.9,5.5,95.7,0,3,13.82
250,187.4,0.7,0.5,861.2,956.9,5.5,95.7,0,14,24.92
250,187.4,0.7,0.5,861.2,956.9,5.5,95.7,0,28,29.22
250,187.4,0.7,0.5,861.2,956.9,5.5,95.7,0,56,38.33
250,187.4,0.7,0.5,861.2,956.9,5.5,95.7,0,100,42.35
212.5,159.3,0.7,0.5,903.6,1007.8,8.7,100.4,0,3,13.54
212.5,159.3,0.7,0.5,903.6,1007.8,8.7,100.4,0,14,26.31
212.5,159.3,0.7,0.5,903.6,1007.8,8.7,100.4,0,28,31.64
212.5,159.3,0.7,0.5,903.6,1007.8,8.7,100.4,0,56,42.55
212.5,159.3,0.7,0.5,903.6,1007.8,8.7,100.4,0,100,42.92
212.6,159.4,0.7,0.5,903.8,1003.8,10.4,100.4,0,3,13.33
212.6,159.4,0.7,0.5,903.8,1003.8,10.4,100.4,0,14,25.37
212.6,159.4,0.7,0.5,903.8,1003.8,10.4,100.4,0,28,37.4
212.6,159.4,0.7,0.5,903.8,1003.8,10.4,100.4,0,56,44.4
212.6,159.4,0.7,0.5,903.8,1003.8,10.4,100.4,0,100,47.74
212,159,0.8,0.5,799.5,1085.4,7.8,124.8,0,3,19.52
212,159,0.8,0.5,799.5,1085.4,7.8,124.8,0,14,31.35
212,159,0.8,0.5,799.5,1085.4,7.8,124.8,0,28,38.5
212,159,0.8,0.5,799.5,1085.4,7.8,124.8,0,56,45.08
212,159,0.8,0.5,799.5,1085.4,7.8,124.8,0,100,47.82
231.8,174,0.8,0.5,778.5,1056.4,6.7,121.6,0,3,15.44
231.8,174,0.8,0.5,778.5,1056.4,6.7,121.6,0,14,26.77
231.8,174,0.8,0.5,778.5,1056.4,6.7,121.6,0,28,33.73
231.8,174,0.8,0.5,778.5,1056.4,6.7,121.6,0,56,42.7
231.8,174,0.8,0.5,778.5,1056.4,6.7,121.6,0,100,45.84
251.4,188.5,0.7,0.5,757.7,1028.4,5.8,118.3,0,3,17.22
251.4,188.5,0.7,0.5,757.7,1028.4,5.8,118.3,0,14,29.93
251.4,188.5,0.7,0.5,757.7,1028.4,5.8,118.3,0,28,29.65
251.4,188.5,0.7,0.5,757.7,1028.4,5.8,118.3,0,56,36.97
251.4,188.5,0.7,0.5,757.7,1028.4,5.8,118.3,0,100,43.58
251.4,188.5,0.7,0.5,757.7,1028.4,6.4,118.3,0,3,13.12
251.4,188.5,0.7,0.5,757.7,1028.4,6.4,118.3,0,14,24.43
251.4,188.5,0.7,0.5,757.7,1028.4,6.4,118.3,0,28,32.66
251.4,188.5,0.7,0.5,757.7,1028.4,6.4,118.3,0,56,36.64
251.4,188.5,0.7,0.5,757.7,1028.4,6.4,118.3,0,100,44.21
181.4,169.6,0.9,0.5,777.8,1055.6,7.6,167,0,3,13.62
181.4,169.6,0.9,0.5,777.8,1055.6,7.6,167,0,14,21.6
181.4,169.6,0.9,0.5,777.8,1055.6,7.6,167,0,28,27.77
181.4,169.6,0.9,0.5,777.8,1055.6,7.6,167,0,56,35.57
181.4,169.6,0.9,0.5,777.8,1055.6,7.6,167,0,100,45.37
182,170.2,0.9,0.5,780.7,1059.4,8.2,122,45.2,3,7.32
182,170.2,0.9,0.5,780.7,1059.4,8.2,122,45.2,14,21.5
182,170.2,0.9,0.5,780.7,1059.4,8.2,122,45.2,28,31.27
182,170.2,0.9,0.5,780.7,1059.4,8.2,122,45.2,56,43.5
182,170.2,0.9,0.5,780.7,1059.4,8.2,122,45.2,100,48.67
168.9,158.3,0.9,0.5,796.2,1080.8,10.8,124.3,42.2,3,7.4
168.9,158.3,0.9,0.5,796.2,1080.8,10.8,124.3,42.2,14,23.51
168.9,158.3,0.9,0.5,796.2,1080.8,10.8,124.3,42.2,28,31.12
168.9,158.3,0.9,0.5,796.2,1080.8,10.8,124.3,42.2,56,39.15
168.9,158.3,0.9,0.5,796.2,1080.8,10.8,124.3,42.2,100,48.15
290.4,168.1,0.6,0.4,865,961.2,9.4,96.2,0,3,22.5
290.4,168.1,0.6,0.4,865,961.2,9.4,96.2,0,14,34.67
290.4,168.1,0.6,0.4,865,961.2,9.4,96.2,0,28,34.74
290.4,168.1,0.6,0.4,865,961.2,9.4,96.2,0,56,45.08
290.4,168.1,0.6,0.4,865,961.2,9.4,96.2,0,100,48.97
277.1,160.6,0.6,0.4,875.6,973.9,11.8,97.4,0,3,23.14
277.1,160.6,0.6,0.4,875.6,973.9,11.8,97.4,0,14,41.89
277.1,160.6,0.6,0.4,875.6,973.9,11.8,97.4,0,28,48.28
277.1,160.6,0.6,0.4,875.6,973.9,11.8,97.4,0,56,51.04
277.1,160.6,0.6,0.4,875.6,973.9,11.8,97.4,0,100,55.64
295.7,171.5,0.6,0.4,859.2,955.1,8.9,95.6,0,3,22.95
295.7,171.5,0.6,0.4,859.2,955.1,8.9,95.6,0,14,35.23
295.7,171.5,0.6,0.4,859.2,955.1,8.9,95.6,0,28,39.94
295.7,171.5,0.6,0.4,859.2,955.1,8.9,95.6,0,56,48.72
295.7,171.5,0.6,0.4,859.2,955.1,8.9,95.6,0,100,52.04
251.8,146.1,0.6,0.4,899.8,1006,12.4,99.9,0,3,21.02
251.8,146.1,0.6,0.4,899.8,1006,12.4,99.9,0,14,33.36
251.8,146.1,0.6,0.4,899.8,1006,12.4,99.9,0,28,33.94
251.8,146.1,0.6,0.4,899.8,1006,12.4,99.9,0,56,44.14
251.8,146.1,0.6,0.4,899.8,1006,12.4,99.9,0,100,45.37
249.1,158.1,0.6,0.5,889,987.8,12.8,98.8,0,3,15.36
249.1,158.1,0.6,0.5,889,987.8,12.8,98.8,0,14,28.68
249.1,158.1,0.6,0.5,889,987.8,12.8,98.8,0,28,30.85
249.1,158.1,0.6,0.5,889,987.8,12.8,98.8,0,56,42.03
249.1,158.1,0.6,0.5,889,987.8,12.8,98.8,0,100,51.06
